"image","male_politician_image","convicted","Corruptible","Genuine","Attractive","Dominant","wiki","gov","news","age","glasses","beard","mustache","hair_blond","hair_white","hair_black","hair_brown","pixels","AU06","AU12","clothing_r","clothing_g","clothing_b"
26,"26dennis_egan.jpg",0,4.74789915966387,3.00840336134454,2.12820512820513,4.79661016949153,0,1,0,75,1,0,0,0,3,2,0,630069,0.90245897,0.96277624,11.25390261,10.84248477,10.80400344
27,"27joseph_lagana.jpg",0,3.70588235294118,3.78813559322034,4.15966386554622,3,0,1,0,45,0,0,0,0,0,3,0,849889,0.90379834,0.94514775,18.0742534,14.96167325,19.16279086
28,"28richard_codey.jpg",0,4.30769230769231,3.6218487394958,2.30508474576271,3.96610169491525,0,1,0,77,0,0,0,0,2,0,3,574977,0.90733975,0.95622325,20.9928147,18.44485092,17.63114124
29,"29thomas_abinanti.jpg",0,4.31623931623932,3.6218487394958,2.49579831932773,3.74137931034483,0,1,0,78,0,0,0,0,1,3,0,744309,0.9150334,0.9595761,22.18426184,21.8778847,22.69967399
30,"30stephen_ross.jpg",0,3.69747899159664,3.94915254237288,2.47058823529412,3.92241379310345,1,0,0,73,1,0,0,0,2,1,1,944150,0.81768656,0.9047475,20.82677668,19.88200072,18.79586676
31,"31tim_hennessey.jpg",0,4.49152542372881,3.3728813559322,2.53781512605042,4.33333333333333,0,1,0,77,0,0,0,0,3,0,0,391460,0.8528418,0.9031819,6.144441825,6.070261043,5.894534386
32,"32kevin _schreiber.jpg",0,3.72881355932203,4.04273504273504,4.20338983050847,3.14406779661017,0,1,0,44,0,0,0,3,0,0,1,381582,0.9145877,0.9329342,19.97927148,18.1162218,18.66344931
33,"33charles_mcilhinney.jpg",0,3.9327731092437,3.7563025210084,2.98319327731092,3.49152542372881,0,1,0,57,0,0,0,0,0,3,0,1382654,0.87385976,0.9564368,14.00153875,13.94495753,16.11653256
34,"34niceley_frank.jpg",0,3.76271186440678,4,2.96638655462185,4.10169491525424,0,1,0,77,0,0,0,0,2,2,0,1026344,0.6751234,0.7501845,7.79010584,8.76504968,13.08483901
35,"35frank_garner.jpg",0,4.20168067226891,3.57142857142857,2.87394957983193,4.22222222222222,1,0,0,57,0,0,0,0,2,1,0,549002,0.9122032,0.9061066,14.05298943,14.69607194,16.10104411
36,"36neil_d_breslin.jpg",0,4.10084033613445,3.52941176470588,2.57264957264957,4.35593220338983,1,0,0,82,0,0,0,0,2,3,0,635582,0.8953664,0.9145083,27.98227078,25.90510244,21.4958211
37,"37_michael grimm.jpg",1,4.58119658119658,3.38135593220339,3.76923076923077,4.22881355932203,0,1,0,54,0,0,0,0,0,3,0,860832,0.81724626,0.8740976,16.42906641,16.07735407,16.59989215
38,"38bob_ney.jpg",1,4.11864406779661,3.66101694915254,2.71428571428571,3.70434782608696,0,1,0,70,0,0,0,3,0,0,0,948096,0.9107532,0.9206421,11.68505721,12.92501244,13.40540547
39,"39duke_cunningham.jpg",1,5.04237288135593,2.81512605042017,1.90598290598291,4.66666666666667,1,0,0,82,0,0,0,0,1,3,0,802420,0.79256773,0.9200669,15.66891691,14.62807199,13.63769283
40,"40james_traficant.jpg",1,4.61344537815126,2.95798319327731,2.44915254237288,5.23076923076923,0,1,0,73,1,0,0,0,2,2,0,632352,0.81674427,0.81982535,12.53109824,11.92155732,12.21511388
41,"41mike_hubbard.jpg",1,4.23728813559322,3.64957264957265,3.42857142857143,4.54237288135593,0,1,0,62,0,0,0,0,1,3,0,402000,0.5093616,0.49803686,19.65728048,19.94708881,19.91054685
42,"42greg_wren.jpg",1,3.94871794871795,3.75423728813559,3.17647058823529,4.04273504273504,0,1,0,69,0,0,0,0,2,1,1,458172,0.9122871,0.96114355,19.1468475,15.54779936,11.84295508
43,"43terry_spicer.jpg",1,4.16239316239316,3.85714285714286,2.75423728813559,4.30769230769231,0,0,1,59,1,0,0,0,0,3,0,649674,0.7763604,0.84942615,10.54891339,9.598363566,11.07125932
44,"44paul_bookout.jpg",1,3.65811965811966,4.05882352941176,2.88034188034188,3.43103448275862,0,0,1,62,0,0,0,0,0,3,0,494208,0.92520213,0.9726036,18.08418362,18.56907935,20.03315694
45,"45ben_arredondo.jpg",1,4.52542372881356,3.34453781512605,2.28205128205128,4.29661016949153,0,1,0,76,0,0,0,0,3,0,0,1026344,0.7346822,0.76370627,7.707743983,10.1943597,10.21837925
46,"46steve_king.jpg",1,3.90677966101695,3.66949152542373,3.15126050420168,3.72033898305085,1,0,0,75,0,0,1,0,1,3,0,359970,0.8649651,0.94816554,19.33124879,19.06760448,21.31113458
47,"47douglas_bruce.jpg",1,3.94957983193277,3.96638655462185,2.91525423728814,4.16101694915254,0,1,0,75,0,0,0,1,0,3,0,326508,0.88121367,0.92220265,21.23197008,19.7627901,19.66264217
48,"48thomas_gaffey.jpg",1,4.58620689655172,3.33050847457627,2.7008547008547,4.72413793103448,0,1,0,66,0,0,0,0,0,3,0,836386,0.9042429,0.9500436,8.028725177,7.201645901,8.199162042
49,"49kent_sorenson.jpg",1,4.11111111111111,3.5593220338983,2.84745762711864,4.05932203389831,0,0,1,52,0,1,1,0,0,3,0,467602,0.91111416,0.9338419,20.2110787,18.83015251,20.11176765
50,"50keithhall.jpg",1,4.17647058823529,3.49579831932773,2.73949579831933,3.51694915254237,0,0,1,65,0,0,1,0,0,1,3,778824,0.9048974,0.87218934,14.25501489,15.03803501,16.84355927
51,"51salvatore_dimasi.jpg",1,4.33613445378151,3.46218487394958,2.63865546218487,4.57627118644068,0,1,0,79,0,0,1,0,2,3,0,488757,0.7400312,0.8038337,4.326348383,4.652276343,5.669451178
52,"52art_wittich.jpg",1,3.80672268907563,4.14285714285714,3.11764705882353,4.49152542372881,0,0,1,67,1,1,1,0,0,0,3,440385,0.588215,0.6775364,13.52773918,13.46252981,13.52169965
53,"53john_perzel.jpg",1,4.20338983050847,3.50847457627119,2.77310924369748,4.19491525423729,0,1,0,74,0,0,1,0,3,1,0,674568,0.5456641,0.45347828,16.58318361,15.61628035,16.37032293
54,"54carl_kruger.jpg",1,4.76470588235294,3.33613445378151,2.19491525423729,4.93220338983051,0,1,0,74,1,0,0,0,1,2,0,528040,0.758801,0.84754837,14.62648756,15.75922362,16.5941308
55,"55rick_brinkley.jpg",1,4.3781512605042,3.42372881355932,2.39655172413793,3.98275862068966,0,1,0,57,0,0,0,0,1,2,0,932688,0.88644415,0.9418604,16.54550988,14.7628294,14.76379893
56,"56bobby_harrell.jpg",1,3.56302521008403,4.11764705882353,3.60504201680672,3.93162393162393,0,1,0,58,0,0,0,0,2,3,0,2851146,0.8640852,0.92737687,13.46958181,12.95451904,13.37949777
57,"57thad_viers.jpg",1,3.64957264957265,3.82352941176471,3.47899159663866,2.91525423728814,0,1,0,46,0,0,0,0,0,1,3,420316,0.6935453,0.840719,18.79860867,18.56496686,19.28282846
58,"58joe_armstrong.jpg",1,4.27966101694915,3.51694915254237,2.81512605042017,4.02564102564103,0,1,0,68,0,1,1,0,2,3,0,617520,0.92620724,0.9445889,26.07941024,29.12963627,32.99212616
59,"59phil_hamilton.jpg",1,4.61344537815126,3.3728813559322,2.38135593220339,3.9406779661017,0,0,1,72,0,1,1,0,3,0,0,371315,0.8848704,0.91765696,19.88298841,19.61044663,19.93068241
60,"60vic_kohring.jpg",1,3.77310924369748,4,3.61864406779661,4.35593220338983,0,1,0,64,0,0,0,0,2,1,1,533088,0.777654,0.7297221,16.56086826,14.12221554,15.14482094
61,"61bruce_weyhrauch.jpg",1,4.35294117647059,3.25641025641026,2.45299145299145,3.73728813559322,0,1,0,71,0,0,0,0,0,3,0,987600,0.90167004,0.9717656,17.69963789,17.21959193,18.96585902
62,"62john_cowdery.jpg",1,4.53389830508475,3.36134453781513,2.10924369747899,4.22881355932203,0,0,1,83,1,0,0,0,3,0,0,624580,0.9183635,0.9578772,25.21948755,25.1594438,25.77909665
63,"63daniel_van_pelt.jpg",1,3.68067226890756,4.0672268907563,3.26050420168067,3.63247863247863,0,1,0,60,0,0,0,0,1,2,2,964460,0.86312693,0.8919762,14.7196773,13.36760576,15.96794872
64,"64joseph_coniglio.jpg",1,4.20168067226891,3.27586206896552,2.46218487394958,3.61016949152542,0,1,0,81,0,0,0,0,1,3,0,964460,0.7575334,0.89457685,15.3809649,16.02457998,14.39293887
65,"65anthoney_seminerio.jpg",1,4.57142857142857,3.34453781512605,2.00840336134454,4.22033898305085,0,0,1,75,0,0,0,0,3,2,0,1028400,0.8601009,0.91516757,16.53133524,15.81742514,16.59424693
66,"66james_boyce_black.jpg",1,3.95762711864407,3.65254237288136,2.31932773109244,3.35897435897436,0,1,0,89,1,0,0,0,1,3,0,434460,0.8934876,0.9356556,22.93398023,22.14716959,22.77401122
67,"67william_deweese.jpg",1,4.42016806722689,3.73949579831933,3.13559322033898,4.60344827586207,0,1,0,74,0,0,0,0,3,0,1,950896,0.8890299,0.9507054,10.83603787,10.51150131,10.76859928
68,"68jeffrey_habay.jpg",1,3.95762711864407,3.43220338983051,2.76470588235294,2.67796610169492,0,1,0,58,0,0,0,0,0,2,2,54756,0.86576086,0.9591081,9.221952652,8.582768274,9.260661828
69,"69joseph_loeper.jpg",1,5.18103448275862,2.78991596638655,1.78991596638655,4.15254237288136,0,1,0,79,1,0,0,0,2,3,0,606018,0.89108574,0.8608561,22.69386405,22.31867859,21.76031135
70,"70ward_crutchfield.jpg",1,3.94957983193277,3.88034188034188,2.53781512605042,4.58474576271186,0,1,0,87,1,0,0,1,2,2,0,1023435,0.90803224,0.95591074,16.77378339,17.56905617,19.6200384
71,"71joel_boniek.jpg",1,4.38135593220339,3.21008403361345,2.47457627118644,3.72881355932203,0,0,1,63,0,0,1,0,1,2,1,523016,0.7258966,0.8266887,20.85262794,21.10519254,20.48773977
72,"72vincent_leibell.jpg",1,4.6271186440678,3.3135593220339,2.49579831932773,4.16101694915254,0,1,0,78,0,0,0,0,1,3,0,578700,0.7768643,0.8645967,14.18228427,14.37846012,16.18140295
