image_name,image,convicted,age,glasses,beard,mustache,pixels,AU06,AU12,happiness,image_name
52Art_Wittich.JPG,52,1,67,1,1,1,440385,0.588215,0.6775364,0.13955507,52Art_Wittich.JPG
53John_Perzel.JPG,53,1,74,0,0,1,674568,0.5456641,0.45347828,0.93725777,53John_Perzel.JPG
54Carl_Kruger.JPG,54,1,74,1,0,0,528040,0.758801,0.84754837,0.794273,54Carl_Kruger.JPG
55Rick_Brinkley.JPG,55,1,57,0,0,0,932688,0.88644415,0.9418604,0.99532145,55Rick_Brinkley.JPG
56Bobby_Harrell.JPG,56,1,58,0,0,0,2851146,0.8640852,0.92737687,0.9979755,56Bobby_Harrell.JPG
57Thad_Viers.JPG,57,1,46,0,0,0,420316,0.6935453,0.840719,0.4414128,57Thad_Viers.JPG
58Joe_Armstrong.JPG,58,1,68,0,1,1,617520,0.92620724,0.9445889,0.91386074,58Joe_Armstrong.JPG
59Phil_Hamilton.JPG,59,1,72,0,1,1,371315,0.8848704,0.91765696,0.9799849,59Phil_Hamilton.JPG
60Vic_Kohring.JPG,60,1,64,0,0,0,533088,0.777654,0.7297221,0.20073126,60Vic_Kohring.JPG
61Bruce_Weyhrauch.JPG,61,1,71,0,0,0,987600,0.90167004,0.9717656,0.9976587,61Bruce_Weyhrauch.JPG
62John_Cowdery.JPG,62,1,83,1,0,0,624580,0.9183635,0.9578772,0.9987463,62John_Cowdery.JPG
63Daniel_Van_Pelt.JPG,63,1,60,0,0,0,964460,0.86312693,0.8919762,0.99231213,63Daniel_Van_Pelt.JPG
64Joseph_Coniglio.PNG,64,1,81,0,0,0,964460,0.7575334,0.89457685,0.98561645,64Joseph_Coniglio.PNG
65Anthoney_Seminerio.PNG,65,1,75,0,0,0,1028400,0.8601009,0.91516757,0.9027821,65Anthoney_Seminerio.PNG
66James_Boyce_Black.JPG,66,1,89,1,0,0,434460,0.8934876,0.9356556,0.97916496,66James_Boyce_Black.JPG
67William_DeWeese.JPG,67,1,74,0,0,0,950896,0.8890299,0.9507054,0.9849458,67William_DeWeese.JPG
68Jeffrey_Habay.JPG,68,1,58,0,0,0,54756,0.86576086,0.9591081,0.9955265,68Jeffrey_Habay.JPG
69Joseph_Loeper.JPG,69,1,79,1,0,0,606018,0.89108574,0.8608561,0.14459062,69Joseph_Loeper.JPG
70Ward_Crutchfield.JPG,70,1,87,1,0,0,1023435,0.90803224,0.95591074,0.99077344,70Ward_Crutchfield.JPG
71Joel_Boniek.JPG,71,1,63,0,0,1,523016,0.7258966,0.8266887,0.64446956,71Joel_Boniek.JPG
72Vincent_Leibell.JPG,72,1,78,0,0,0,578700,0.7768643,0.8645967,0.9942333,72Vincent_Leibell.JPG
