Male_Images,image,convicted,wiki,gov,news,age,glasses,beard,mustache,hair_blond,hair_white,hair_black,hair_brown,pixels,AU06,AU12,clothing_r,clothing_g,clothing_b,photo_source
42Greg_Wren.jpg,42,1,0,1,0,69,0,0,0,0,2,1,1,458172,0.9122871,0.96114355,19.1468475,15.54779936,11.84295508,
43Terry_Spicer.jpg,43,1,0,0,1,59,1,0,0,0,0,3,0,649674,0.7763604,0.84942615,10.54891339,9.598363566,11.07125932,
44Paul_Bookout.jpg,44,1,0,0,1,62,0,0,0,0,0,3,0,494208,0.92520213,0.9726036,18.08418362,18.56907935,20.03315694,
45Ben_Arredondo.jpg,45,1,0,1,0,76,0,0,0,0,3,0,0,1026344,0.7346822,0.76370627,7.707743983,10.1943597,10.21837925,
46Steve_King.jpg,46,1,1,0,0,75,0,0,1,0,1,3,0,359970,0.8649651,0.94816554,19.33124879,19.06760448,21.31113458,
47Douglas_Bruce.jpg,47,1,0,1,0,75,0,0,0,1,0,3,0,326508,0.88121367,0.92220265,21.23197008,19.7627901,19.66264217,
48Thomas_Gaffey.jpg,48,1,0,1,0,66,0,0,0,0,0,3,0,836386,0.9042429,0.9500436,8.028725177,7.201645901,8.199162042,
49Kent_Sorenson.jpg,49,1,0,0,1,52,0,1,1,0,0,3,0,467602,0.91111416,0.9338419,20.2110787,18.83015251,20.11176765,
50KeithHall.jpg,50,1,0,0,1,65,0,0,1,0,0,1,3,778824,0.9048974,0.87218934,14.25501489,15.03803501,16.84355927,
51Salvatore_Dimasi.jpg,51,1,0,1,0,79,0,0,1,0,2,3,0,488757,0.7400312,0.8038337,4.326348383,4.652276343,5.669451178,
52Art_Wittich.jpg,52,1,0,0,1,67,1,1,1,0,0,0,3,440385,0.588215,0.6775364,13.52773918,13.46252981,13.52169965,
53John_Perzel.jpg,53,1,0,1,0,74,0,0,1,0,3,1,0,674568,0.5456641,0.45347828,16.58318361,15.61628035,16.37032293,
54Carl_Kruger.jpg,54,1,0,1,0,74,1,0,0,0,1,2,0,528040,0.758801,0.84754837,14.62648756,15.75922362,16.5941308,
55Rick_Brinkley.jpg,55,1,0,1,0,57,0,0,0,0,1,2,0,932688,0.88644415,0.9418604,16.54550988,14.7628294,14.76379893,
56Bobby_Harrell.jpg,56,1,0,1,0,58,0,0,0,0,2,3,0,2851146,0.8640852,0.92737687,13.46958181,12.95451904,13.37949777,
57Thad_Viers.jpg,57,1,0,1,0,46,0,0,0,0,0,1,3,420316,0.6935453,0.840719,18.79860867,18.56496686,19.28282846,
58Joe_Armstrong.jpg,58,1,0,1,0,68,0,1,1,0,2,3,0,617520,0.92620724,0.9445889,26.07941024,29.12963627,32.99212616,
59Phil_Hamilton.jpg,59,1,0,0,1,72,0,1,1,0,3,0,0,371315,0.8848704,0.91765696,19.88298841,19.61044663,19.93068241,
60Vic_Kohring.jpg,60,1,0,1,0,64,0,0,0,0,2,1,1,533088,0.777654,0.7297221,16.56086826,14.12221554,15.14482094,
61Bruce_Weyhrauch.jpg,61,1,0,1,0,71,0,0,0,0,0,3,0,987600,0.90167004,0.9717656,17.69963789,17.21959193,18.96585902,
62John_Cowdery.jpg,62,1,0,0,1,83,1,0,0,0,3,0,0,624580,0.9183635,0.9578772,25.21948755,25.1594438,25.77909665,
63Daniel_Van_Pelt.jpg,63,1,0,1,0,60,0,0,0,0,1,2,2,964460,0.86312693,0.8919762,14.7196773,13.36760576,15.96794872,
64Joseph_Coniglio.png,64,1,0,1,0,81,0,0,0,0,1,3,0,964460,0.7575334,0.89457685,15.3809649,16.02457998,14.39293887,
65Anthoney_Seminerio.png,65,1,0,0,1,75,0,0,0,0,3,2,0,1028400,0.8601009,0.91516757,16.53133524,15.81742514,16.59424693,
66James_Boyce_Black.jpg,66,1,0,1,0,89,1,0,0,0,1,3,0,434460,0.8934876,0.9356556,22.93398023,22.14716959,22.77401122,
67William_DeWeese.jpg,67,1,0,1,0,74,0,0,0,0,3,0,1,950896,0.8890299,0.9507054,10.83603787,10.51150131,10.76859928,
68Jeffrey_Habay.jpg,68,1,0,1,0,58,0,0,0,0,0,2,2,54756,0.86576086,0.9591081,9.221952652,8.582768274,9.260661828,
69Joseph_Loeper.jpg,69,1,0,1,0,79,1,0,0,0,2,3,0,606018,0.89108574,0.8608561,22.69386405,22.31867859,21.76031135,
70Ward_Crutchfield.jpg,70,1,0,1,0,87,1,0,0,1,2,2,0,1023435,0.90803224,0.95591074,16.77378339,17.56905617,19.6200384,
71Joel_Boniek.jpg,71,1,0,0,1,63,0,0,1,0,1,2,1,523016,0.7258966,0.8266887,20.85262794,21.10519254,20.48773977,
72Vincent_Leibell.jpg,72,1,0,1,0,78,0,0,0,0,1,3,0,578700,0.7768643,0.8645967,14.18228427,14.37846012,16.18140295,
