"image","male_politician_image","convicted","Corruptible","Genuine","Attractive","Dominant","wiki","gov","news","age","glasses","beard","mustache","hair_blond","hair_white","hair_black","hair_brown","pixels","AU06","AU12","clothing_r","clothing_g","clothing_b"
26,"26dennis_egan.jpg",0,4.70689655172414,3.54782608695652,2.73913043478261,4.75221238938053,0,1,0,75,1,0,0,0,3,2,0,630069,0.90245897,0.96277624,11.25390261,10.84248477,10.80400344
27,"27joseph_lagana.jpg",0,3.34210526315789,4.26724137931035,4.11304347826087,3.18260869565217,0,1,0,45,0,0,0,0,0,3,0,849889,0.90379834,0.94514775,18.0742534,14.96167325,19.16279086
28,"28richard_codey.jpg",0,4.10526315789474,3.8448275862069,2.8,4.15652173913043,0,1,0,77,0,0,0,0,2,0,3,574977,0.90733975,0.95622325,20.9928147,18.44485092,17.63114124
29,"29thomas_abinanti.jpg",0,4.14782608695652,3.97413793103448,2.86206896551724,3.59649122807018,0,1,0,78,0,0,0,0,1,3,0,744309,0.9150334,0.9595761,22.18426184,21.8778847,22.69967399
30,"30stephen_ross.jpg",0,3.20689655172414,4.46086956521739,3.01724137931034,3.85344827586207,1,0,0,73,1,0,0,0,2,1,1,944150,0.81768656,0.9047475,20.82677668,19.88200072,18.79586676
31,"31tim_hennessey.jpg",0,4.41228070175439,3.81034482758621,2.68103448275862,4.31304347826087,0,1,0,77,0,0,0,0,3,0,0,391460,0.8528418,0.9031819,6.144441825,6.070261043,5.894534386
32,"32kevin _schreiber.jpg",0,3.66086956521739,4.24347826086957,4.18103448275862,3.38793103448276,0,1,0,44,0,0,0,3,0,0,1,381582,0.9145877,0.9329342,19.97927148,18.1162218,18.66344931
33,"33charles_mcilhinney.jpg",0,3.86086956521739,3.88695652173913,3.19827586206897,3.74782608695652,0,1,0,57,0,0,0,0,0,3,0,1382654,0.87385976,0.9564368,14.00153875,13.94495753,16.11653256
34,"34niceley_frank.jpg",0,3.89565217391304,4.25,3.46086956521739,4.18260869565217,0,1,0,77,0,0,0,0,2,2,0,1026344,0.6751234,0.7501845,7.79010584,8.76504968,13.08483901
35,"35frank_garner.jpg",0,3.89655172413793,3.98260869565217,3.41379310344828,4.23275862068965,1,0,0,57,0,0,0,0,2,1,0,549002,0.9122032,0.9061066,14.05298943,14.69607194,16.10104411
36,"36neil_d_breslin.jpg",0,4.16379310344828,3.9304347826087,3.0948275862069,4.43478260869565,1,0,0,82,0,0,0,0,2,3,0,635582,0.8953664,0.9145083,27.98227078,25.90510244,21.4958211
37,"37_michael grimm.jpg",1,4.45689655172414,3.57017543859649,3.61946902654867,4.23478260869565,0,1,0,54,0,0,0,0,0,3,0,860832,0.81724626,0.8740976,16.42906641,16.07735407,16.59989215
38,"38bob_ney.jpg",1,3.96491228070175,4.08771929824561,3.18421052631579,3.81034482758621,0,1,0,70,0,0,0,3,0,0,0,948096,0.9107532,0.9206421,11.68505721,12.92501244,13.40540547
39,"39duke_cunningham.jpg",1,4.87826086956522,3.2280701754386,2.30701754385965,4.59130434782609,1,0,0,82,0,0,0,0,1,3,0,802420,0.79256773,0.9200669,15.66891691,14.62807199,13.63769283
40,"40james_traficant.jpg",1,4.92241379310345,3.53448275862069,2.89655172413793,5.64347826086957,0,1,0,73,1,0,0,0,2,2,0,632352,0.81674427,0.81982535,12.53109824,11.92155732,12.21511388
41,"41mike_hubbard.jpg",1,4.2,3.89565217391304,3.5,4.70434782608696,0,1,0,62,0,0,0,0,1,3,0,402000,0.5093616,0.49803686,19.65728048,19.94708881,19.91054685
42,"42greg_wren.jpg",1,3.92241379310345,4.23008849557522,3.45689655172414,4.07758620689655,0,1,0,69,0,0,0,0,2,1,1,458172,0.9122871,0.96114355,19.1468475,15.54779936,11.84295508
43,"43terry_spicer.jpg",1,3.81739130434783,3.96551724137931,3.25862068965517,4.3716814159292,0,0,1,59,1,0,0,0,0,3,0,649674,0.7763604,0.84942615,10.54891339,9.598363566,11.07125932
44,"44paul_bookout.jpg",1,3.47368421052632,4.1875,3.40869565217391,3.70434782608696,0,0,1,62,0,0,0,0,0,3,0,494208,0.92520213,0.9726036,18.08418362,18.56907935,20.03315694
45,"45ben_arredondo.jpg",1,4.47413793103448,3.56896551724138,2.37931034482759,4.33913043478261,0,1,0,76,0,0,0,0,3,0,0,1026344,0.7346822,0.76370627,7.707743983,10.1943597,10.21837925
46,"46steve_king.jpg",1,3.77391304347826,4.17241379310345,3.77391304347826,4.12931034482759,1,0,0,75,0,0,1,0,1,3,0,359970,0.8649651,0.94816554,19.33124879,19.06760448,21.31113458
47,"47douglas_bruce.jpg",1,3.78448275862069,4.19469026548673,3.31896551724138,4.3304347826087,0,1,0,75,0,0,0,1,0,3,0,326508,0.88121367,0.92220265,21.23197008,19.7627901,19.66264217
48,"48thomas_gaffey.jpg",1,4.5929203539823,3.50862068965517,3.00862068965517,4.57758620689655,0,1,0,66,0,0,0,0,0,3,0,836386,0.9042429,0.9500436,8.028725177,7.201645901,8.199162042
49,"49kent_sorenson.jpg",1,4.23478260869565,3.59649122807018,3.01754385964912,4.4695652173913,0,0,1,52,0,1,1,0,0,3,0,467602,0.91111416,0.9338419,20.2110787,18.83015251,20.11176765
50,"50keithhall.jpg",1,4.2,3.66086956521739,3.3859649122807,3.92105263157895,0,0,1,65,0,0,1,0,0,1,3,778824,0.9048974,0.87218934,14.25501489,15.03803501,16.84355927
51,"51salvatore_dimasi.jpg",1,4.17391304347826,4.06896551724138,3.15652173913043,5.01724137931035,0,1,0,79,0,0,1,0,2,3,0,488757,0.7400312,0.8038337,4.326348383,4.652276343,5.669451178
52,"52art_wittich.jpg",1,3.57758620689655,4.28571428571429,3.39130434782609,4.62068965517241,0,0,1,67,1,1,1,0,0,0,3,440385,0.588215,0.6775364,13.52773918,13.46252981,13.52169965
53,"53john_perzel.jpg",1,4.0948275862069,3.75862068965517,2.85964912280702,4.24561403508772,0,1,0,74,0,0,1,0,3,1,0,674568,0.5456641,0.45347828,16.58318361,15.61628035,16.37032293
54,"54carl_kruger.jpg",1,4.54385964912281,3.82758620689655,2.54310344827586,4.9646017699115,0,1,0,74,1,0,0,0,1,2,0,528040,0.758801,0.84754837,14.62648756,15.75922362,16.5941308
55,"55rick_brinkley.jpg",1,4.2280701754386,3.83478260869565,2.81034482758621,4.22413793103448,0,1,0,57,0,0,0,0,1,2,0,932688,0.88644415,0.9418604,16.54550988,14.7628294,14.76379893
56,"56bobby_harrell.jpg",1,3.54385964912281,4.2719298245614,3.53448275862069,3.85964912280702,0,1,0,58,0,0,0,0,2,3,0,2851146,0.8640852,0.92737687,13.46958181,12.95451904,13.37949777
57,"57thad_viers.jpg",1,3.39655172413793,4.05263157894737,3.76724137931034,3.31896551724138,0,1,0,46,0,0,0,0,0,1,3,420316,0.6935453,0.840719,18.79860867,18.56496686,19.28282846
58,"58joe_armstrong.jpg",1,4.04347826086957,3.77391304347826,3.06034482758621,4.30973451327434,0,1,0,68,0,1,1,0,2,3,0,617520,0.92620724,0.9445889,26.07941024,29.12963627,32.99212616
